번호	종목	문제	정답
1	1	다음 중 워드프로세서에서 사용하는 기본 용어에 관한 설명으로 옳지 않은 것은?	1
2	1	다음 중 워드프로세서에서 매크로(Macro)에 대한 설명으로 옳지 않은 것은? 	4
3	1	다음 중 KS X 1005-1(유니코드)에 대한 설명으로 옳지 않은 것은? 	2
4	1	다음 중 워드프로세서에서 특정 내용을 검색하기 위한 찾기 기능의 설명으로 옳지 않은 것은? 	1
5	1	다음 중 한글 워드프로세서의 문서파일 저장 기능에 관한설명으로 옳지 않은 것은? 	3
6	1	다음 중 머리말과 꼬리말에 대한 설명으로 옳지 않은 것은? 	4
7	1	다음 중 워드프로세서의 인쇄 기능에 대한 설명으로 옳지 않은 것은? 	3
8	1	다음 중 전자 출판과 관련된 용어에서 커닝(Kerning)에 관한 설명으로 옳은 것은? 	1
9	1	다음 중 문서의 기능으로 가장 거리가 먼 것은? 	1
10	1	다음 중 보고서 작성 시 유의해야 할 사항으로 옳지 않은 것은? 	4
11	1	다음 중 문서 작성 시 유의사항으로 옳지 않은 것은?	2
12	1	다음 중 문서의 수정을 위한 교정 부호의 표기법으로 옳지 않은 것은?	1
13	1	다음 중 문서관리에 대한 내용으로 가장 거리가 먼 것은?	1
14	1	다음 중 문서 파일링 시스템의 도입효과와 관련이 없는 것은?	4
15	1	다음 중 전자문서에 대한 설명으로 적당하지 않은 것은?	3
16	1	다음은 문서의 발송에 대한 설명이다. 옳지 않은 것은?	4
17	1	다음 중 공문서 작성에 관한 설명으로 옳지 않은 것은?	3
18	1	다음 중 한글 Windows 7의 도움말 및 지원 기능에 관한 설명으로 옳지 않은 것은?	4
19	1	다음 중 한글 Windows 7에서 부팅 시 고급 옵션에서 지원하는 부팅 모드에 대한 설명으로 옳은 것은?	4
20	1	다음 중 한글 Windows 7에서 제공하는 기능에 대한 설명으로 옳지 않은 것은?	1
21	1	다음 중 한글 Windows 7의 작업 표시줄에 대한 설명으로 옳지 않은 것은?	2
22	1	다음 중 한글 Windows 7에서 바탕화면의 바로가기 메뉴를 사용하여 할 수 있는 작업으로 옳지 않은 것은?	4
23	1	다음 중 한글 Windows 7의 [폴더 옵션]의 '보기' 탭에서 할 수 없는 기능은?	4
24	1	다음 중 한글 Windows 7에서 파일이나 폴더를 삭제할 수 없는 경우에 대한 설명으로 옳은 것은?	3
25	1	다음 중 한글 Windows 7의 탐색기나 폴더 창의 우측 상단에 표시되는 검색 상자의 사용 방법에 관한 설명으로 옳지 않은 것은?	4
26	1	다음 중 한글 Windows 7의 캡처 도구에 대한 설명으로 옳지 않은 것은?	2
27	1	다음 중 한글 Windows 7에서 파일이나 폴더의 압축 프로그램을 사용할 때 장점으로 옳지 않은 것은?	3
28	1	다음 중 한글 Windows 7에서 설치된 프린터의 바로가기 메뉴에 있는 [프린터 속성]을 선택하여 표시되는 프린터 속성 상자에 대한 설명으로 옳지 않은 것은?	4
29	1	다음 중 한글 Windows 7의 [접근성 센터] 창에서 수행 가능한 작업에 대한 설명으로 옳지 않은 것은?	4
30	1	다음 중 한글 Windows 7에서 제공하는 [Windows 방화벽]에 대한 설명으로 옳지 않은 것은?	2
31	1	다음 중 한글 Windows 7에서 사용할 수 있는 웹 브라우저의 기능에 관한 설명으로 옳지 않은 것은?	1
32	1	다음 중 한글 Windows 7에서 인쇄가 전혀 되지 않는 경우에 취해야 할 조치로 옳지 않은 것은?	1
33	1	다음 중 한글 Windows 7의 [프로그램 및 기능] 창에서 할 수 있는 작업으로 옳지 않은 것은?	4
34	1	다음 중 한글 Windows 7에서 라이브러리에 대한 설명으로 옳지 않은 것은?	4
35	1	한글 Windows 7의 [네트워크 및 공유 센터]에서 '네트워크 설정 변경'과 가장 관련이 없는 항목은?	1
36	1	다음 중 한글 Windows 7에서 공유에 대한 설명으로 옳지 않은 것은?	4
37	1	다음 중 데이터의 크기에 대한 설명으로 옳지 않은 것은?	2
38	1	다음 중 아날로그 컴퓨터에 대한 설명으로 옳지 않은 것은?	1
39	1	다음 중 연산 장치의 구성요소에 대한 설명으로 옳은 것은?	2
40	1	다음 중 CISC 마이크로프로세서에 대한 설명으로 옳지 않은 것은?	4
41	1	다음 중 컴퓨터에서 사용하는 캐시 메모리에 관한 설명으로 옳은 것은?	1
42	1	다음 중 복잡한 여러 기종의 컴퓨팅 환경에서 응용 프로그램과 운영체제의 차이를 보완해 주고, 서버와 클라이언트들을 중간에서 연결해 주는 소프트웨어로 옳은 것은?	2
43	1	다음 중 컴퓨터의 운영체제를 구성하는 제어 프로그램의 역할에 관한 설명으로 옳지 않은 것은?	4
44	1	다음 중 컴퓨터의 시스템 관리에 관한 설명으로 옳지 않은 것은?	3
45	1	다음 중 멀티미디어 파일 포맷에 대한 설명으로 옳지 않은 것은?	1
46	1	하이퍼텍스트에 문자 이외의 그래픽, 사운드, 동영상 등의 멀티미디어 정보를 연결해 놓은 형식을 무엇이라고 하는가?	2
47	1	다음 중 정보통신을 위하여 사용되는 광섬유 케이블에 관한 설명으로 옳지 않은 것은?	2
48	1	다음 중 컴퓨터 바이러스의 감염 증상으로 옳지 않은 것은?	3
49	1	다음 중 네트워크에서 데이터 전달의 흐름을 방해하여 가용성에 영향을 미치는 컴퓨터 시스템의 정보 보안 위협 유형으로 옳은 것은?	1
50	1	다음 중 인터넷 관련 용어의 설명으로 옳지 않은 것은?	4
51	1	디지털 콘텐츠의 불법복제와 유포를 막고 저작권 보유자의 이익과 권리를 보호해주는 기술과 서비스를 무엇이라고 하는가?	3
52	1	다음 중 아웃룩(Outlook)에서 메일 관리에 대한 설명으로 옳지 않은 것은?	1
53	1	다음 중 개인정보보호에 관한 설명으로 옳지 않은 것은?	3
54	2	다음 중 컴퓨터 및 정보기기에서 사용하는 펌웨어(Firmware)에 관한 설명으로 옳은 것은?	4
55	2	다음 중 수의 표현에 있어 진법에 대한 설명으로 옳지 않은 것은?	4
56	2	다음 중 정보 보안을 위한 비밀키 암호화 기법의 설명으로 옳지 않은 것은?	1
57	2	다음 중 시스템 보안을 위해 사용하는 방화벽(Firewall)에 대한 설명으로 적절하지 않은 것은?	3
58	2	다음 중 Windows 운영체제에서의 백업과 복원에 관한설명으로 옳지 않은 것은?	4
59	2	다음 중 스마트폰을 모뎀처럼 활용하는 방법으로, 컴퓨터나 노트북 등의 IT 기기를 스마트폰에 연결하여 무선 인터넷을 사용할 수 있게 하는 기능은?	3
60	2	다음 중 네트워크 관련 장비로 브리지(Bridge)에 관한설명으로 옳지 않은 것은?	3
61	2	다음 중 인터넷 기반 기술을 이용하여 기업들이 외부 보안을 유지한 상태에서 협력 업체 간의 효율적인 업무처리를 위해 사용하는 네트워크로 옳은 것은?	3
62	2	다음 중 TCP/IP 프로토콜에서 IP 프로토콜의 개요 및 기능에 관한 설명으로 옳은 것은?	2
63	2	다음 중 디지털 콘텐츠의 생성·거래·전달·관리 등 전체 과정을 관리할 수 있는 기술로 멀티미디어 프레임워크의 MPEG 표준은?	4
64	2	다음 중 GIF 파일 형식에 대한 설명으로 옳지 않은 것은?	4
65	2	다음 중 Windows의 [제어판] - [장치 및 프린터]에 표시되지 않는 것은?	2
66	2	다음 중 컴퓨터의 제어장치에 있는 부호기(Encoder) 레지스터에 관한 설명으로 옳은 것은?	2
67	2	다음 중 Windows에서 바로 가기 아이콘에 관한 설명으로 옳지 않은 것은?	4
68	2	다음 중 Windows에서 파일이나 폴더, 프린터, 드라이브 등 컴퓨터 자원의 공유에 관한 설명으로 옳지 않은 것은?	4
69	2	다음 중 출력장치인 디스플레이 어댑터와 모니터에 관련된 용어의 설명으로 옳지 않은 것은? 	2
70	2	다음 중 컴퓨터에서 사용하는 기억장치에 관한 설명으로 옳지 않은 것은?	3
71	2	다음 중 패치(Patch) 버전 소프트웨어에 관한 설명으로 옳은 것은?	4
